text,category
"Your a/c XXXX debited by Rs 1299.50 at Zomato on 25-11-2025. Avl bal Rs 12000",Food
"INR 499 paid to Netflix subscription on 01/11/2025",Bills
"Rs 2300 credited by salary from ACME Ltd",Transfer
"Debited â‚¹560 at Indian Oil pump",Fuel
"Payment of Rs. 2899 to Flipkart order",Shopping
"Your a/c XXXX debited by Rs 349 at Swiggy on 20-10-2025",Food
"INR 150 paid to Ola Cabs for ride",Travel
"Rs 799 paid to Amazon for electronics",Shopping
"Your a/c credited by Rs. 5000 as Refund from Flipkart",Transfer
"Debited Rs. 120 for electricity bill from MERC",Bills
"Payment of Rs 45 at Cafe Coffee Day",Food
"INR 2000 debited at BPCL fuel station",Fuel
"Rs 249 paid to Spotify subscription",Bills
"Debited Rs 850 at Uber for ride",Travel
"Rs 999 payment to Myntra order",Shopping
"INR 60 paid to local auto",Travel
"Debited Rs. 350 at Domino's for pizza",Food
"INR 129 paid to PhonePe transfer to friend",Transfer
"Rs 4500 credited by HDFC payroll",Transfer
"Debited Rs. 75 at Tea Stall",Food
"Rs 2200 debited for Rent payment",Bills
"Payment of INR 320 at Indian Oil",Fuel
"Debited Rs. 140 for movie tickets at PVR",Shopping
"INR 600 paid to Zomato order",Food
"Your a/c debited by Rs 250 for electricity bill",Bills
"Rs 180 debited at local bus prepaid",Travel
"Debited Rs. 950 at BigBasket for groceries",Shopping
"INR 299 subscription paid to Hotstar",Bills
"Rs 60 paid at kirana store",Shopping
"INR 120 debited at Fuel Pump",Fuel
"Debited Rs. 450 at GroceryMart",Shopping
"INR 89 debited at AutoRickshaw",Travel
"Rs 199 paid to Gaana subscription",Bills
"Debited Rs. 30 for parking fee",Travel
"INR 349 paid to Swiggy Restaurant",Food
"Rs 520 refunded from Amazon",Transfer
"Debited Rs 1000 at Restaurant The Spicy Hub",Food
"INR 410 debited for electricity bill",Bills
"Rs 275 debited at Cafe",Food
"Debited Rs 180 at Metro Station",Travel
"INR 999 paid for Mobile Recharge at Paytm",Other
"Debited Rs 60 for bottled water",Food
"Rs 2100 paid to College Fees",Bills
"INR 1500 withdrawn from ATM",Other
"Debited Rs 35 at Local Bakery",Food
"Rs 1200 paid to Broadband Bill",Bills
"INR 149 paid for subscription to NewsApp",Bills
"Debited Rs 450 at Fuel Station Shell",Fuel
"INR 399 paid to BookMyShow for movie",Shopping
"Debited Rs 250 to Friend via GPay",Transfer
"Rs 80 debited for local tea",Food
"INR 850 paid for hostel mess charges",Bills
"Debited Rs 60 at roadside stall",Food
"Rs 1300 credited via NEFT",Transfer
"Debited Rs 700 at Car Service Center",Other
"INR 999 paid for Online Course",Bills
"Debited Rs 220 at Pharmacy",Other
"Rs 35 debited for Bus Ticket",Travel
"INR 159 paid to FoodOrder App",Food
